cod;nome;período;valor
43;RS;2011;1043
51;MT;2011;158
22;PI;2011;234
26;PE;2011;291
33;RJ;2011;433
41;PR;2012;629
53;DF;2012;135
15;PA;2012;240
29;BA;2012;477
25;PB;2012;189
17;TO;2012;94
27;AL;2012;109
12;AC;2012;43
23;CE;2012;510
24;RN;2012;171
43;RS;2012;1180
28;SE;2012;109
42;SC;2012;548
35;SP;2012;2097
14;RR;2012;38
11;RO;2012;73
16;AP;2012;21
33;RJ;2012;463
26;PE;2012;332
22;PI;2012;233
51;MT;2012;185
21;MA;2012;206
31;MG;2012;1264
32;ES;2012;178
13;AM;2012;185
50;MS;2012;210
52;GO;2012;402
33;RJ;2013;437
26;PE;2013;320
53;DF;2013;124
42;SC;2013;568
22;PI;2013;227
32;ES;2013;158
50;MS;2013;228
51;MT;2013;177
52;GO;2013;427
16;AP;2013;45
12;AC;2013;44
25;PB;2013;199
21;MA;2013;242
13;AM;2013;225
24;RN;2013;157
35;SP;2013;2205
14;RR;2013;33
29;BA;2013;491
43;RS;2013;1142
11;RO;2013;86
15;PA;2013;232
28;SE;2013;125
41;PR;2013;655
17;TO;2013;94
23;CE;2013;590
31;MG;2013;1159
27;AL;2013;143
33;RJ;2014;522
13;AM;2014;233
27;AL;2014;118
12;AC;2014;49
29;BA;2014;448
43;RS;2014;1112
21;MA;2014;255
32;ES;2014;172
52;GO;2014;454
53;DF;2014;135
15;PA;2014;208
25;PB;2014;158
31;MG;2014;1357
50;MS;2014;204
51;MT;2014;157
22;PI;2014;244
26;PE;2014;325
41;PR;2014;620
11;RO;2014;84
14;RR;2014;15
24;RN;2014;169
35;SP;2014;2232
28;SE;2014;110
42;SC;2014;587
17;TO;2014;85
23;CE;2014;566
16;AP;2014;34
26;PE;2015;308
35;SP;2015;2300
42;SC;2015;637
13;AM;2015;263
17;TO;2015;99
11;RO;2015;109
21;MA;2015;280
28;SE;2015;120
27;AL;2015;116
12;AC;2015;39
53;DF;2015;130
25;PB;2015;221
31;MG;2015;1303
52;GO;2015;435
32;ES;2015;189
15;PA;2015;266
50;MS;2015;230
29;BA;2015;503
22;PI;2015;271
14;RR;2015;52
23;CE;2015;565
51;MT;2015;145
41;PR;2015;716
16;AP;2015;53
43;RS;2015;1141
24;RN;2015;156
33;RJ;2015;531
51;MT;2016;178
52;GO;2016;481
53;DF;2016;152
14;RR;2016;59
15;PA;2016;277
16;AP;2016;36
17;TO;2016;101
11;RO;2016;103
21;MA;2016;294
22;PI;2016;321
23;CE;2016;590
24;RN;2016;181
12;AC;2016;56
25;PB;2016;181
13;AM;2016;194
26;PE;2016;396
27;AL;2016;112
28;SE;2016;115
29;BA;2016;532
31;MG;2016;1302
32;ES;2016;175
33;RJ;2016;573
35;SP;2016;2199
41;PR;2016;760
42;SC;2016;674
43;RS;2016;1168
50;MS;2016;223
50;MS;2017;259
42;SC;2017;739
41;PR;2017;774
35;SP;2017;2306
33;RJ;2017;607
32;ES;2017;207
31;MG;2017;1515
29;BA;2017;603
28;SE;2017;127
27;AL;2017;104
26;PE;2017;438
25;PB;2017;250
24;RN;2017;180
23;CE;2017;644
22;PI;2017;317
21;MA;2017;318
17;TO;2017;115
16;AP;2017;46
11;RO;2017;113
15;PA;2017;301
14;RR;2017;50
13;AM;2017;207
12;AC;2017;64
53;DF;2017;168
52;GO;2017;497
51;MT;2017;197
43;RS;2017;1349
